title,type,address,assignee,annote,author,booktitle,chapter,day,dayfiled,edition,editor,howpublished,institution,journal,language,month,monthfiled,nationality,note,number,organization,pages,publisher,revision,school,series,rtitle, ,volume,year,yearfiled,url,custom1,custom2,custom3,custom4,custom5,isbn
Munteanu2006,6,,,,"Munteanu, Cosmin and Zhang, Yuecheng and Baecker, Ron and Penn, Gerald",Proc. Demo track of {ACM} Conf. on Computer Supported Cooperative Work–{CSCW},,,,,,,,,,,,,,,,83--84,Citeseer,,,,Wiki-like editing of imperfect computer-generated webcast transcripts,,,2006,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.129.3559&rep=rep1&type=pdf,bibtex,,,,,
Nixon2006,7,,,,"Nixon, Lyndon {JB} and Simperl, Elena Paslaru Bontas",,,,,,,,,Proc. Semantics,,,,,,,,,,,,,Makna and MultiMakna: towards semantic and multimedia capability in wikis for the emerging web,,2006,2006,,http://www.academia.edu/download/1909725/4quz0v7pkwwyigy.pdf,bibtex,,,,,
Nixon2006a,7,,,,"Nixon, Lyndon {JB} and Simperl, Elena Paslaru Bontas",,,,,,,,,Proc. Semantics,,,,,,,,,,,,,Makna and MultiMakna: towards semantic and multimedia capability in wikis for the emerging web,,2006,2006,,http://www.academia.edu/download/1909725/4quz0v7pkwwyigy.pdf,bibtex,,,,,
Notari2006,6,,,,"Notari, Michele",Proceedings of the 2006 international symposium on Wikis,,,,,,,,,,,,,,,,131--132,{ACM},,,,How to use a Wiki in education:'Wiki based effective constructive learning',,,2006,,http://dl.acm.org/citation.cfm?id=1149479,bibtex,,,,,
Notari2006a,6,,,,"Notari, Michele",Proceedings of the 2006 international symposium on Wikis,,,,,,,,,,,,,,,,131--132,{ACM},,,,How to use a Wiki in education:'Wiki based effective constructive learning',,,2006,,http://dl.acm.org/citation.cfm?id=1149479,bibtex,,,,,
Palmer2009,7,,,,"Palmer, Joy",,,,,,,,,Ariadne,,,,,,60,,,,,,,"Archives 2.0: if we build it, will they come?",,,2009,,http://www.ariadne.ac.uk/issue60/palmer,bibtex,,,,,
Parker2007,7,,,,"Parker, Kevin R. and Chao, Joseph T.",,,,,,,,,Interdisciplinary journal of knowledge and learning objects,,,,,,1,,57--72,,,,,Wiki as a teaching tool,,3,2007,,http://wikieducator.org/images/5/58/Wikiasateachingtool.pdf,bibtex,,,,,
Rafiq2008,10,,,,"Rafiq, Omar",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,Improving the Accessibility of TiddlyWiki,,,2008,,,bibtex,,,,,
Rafiq2008a,10,,,,"Rafiq, Omar",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,Improving the Accessibility of TiddlyWiki,,,2008,,,bibtex,,,,,
Rafiq2008b,10,,,,"Rafiq, Omar",,,,,,,,"University of Leeds, School of Computer Studies",,,,,,,,,,,,"University of Leeds, School of Computer Studies",,Improving the Accessibility of TiddlyWiki,,,2008,,,bibtex,,,,,
